year,site,area,box,recording_date,date_aprildays,sunrise,sunset,day_before_hatch,inc_start,inc_start_aprildays,first_offbout,activity_onset_time,activity_onset_abs,activity_onset_relative,chronotype,last_onbout_time,activity_end_abs,activity_end_relative,daylength,act_window,night_var,lognight_var,light_atnight,percentage_in,clutch_size,inc_length,hatching_date,hatchlings,avg_chickweight,var_chickweight,fledglings,meantemp,mintemp,maxtemp
2018,CASH,Forest,4CASH,22/05/2018,52,22/05/2018 04:53,22/05/2018 21:38,-4,0010-05-19 23:58:45,40,22/05/2018 06:00,06:00:00,360,67,,22/05/2018 18:36,1116,-182,1005,756,0.050947622,-1.292876082,0.4,76.25,9,733413,26/05/2018,9,18.97,0.43,9,14.39243056,7.3,18.794
2018,CASH,Forest,4CASH,23/05/2018,53,23/05/2018 04:51,23/05/2018 21:40,-3,0010-05-19 23:58:45,40,23/05/2018 05:48,05:48:00,348,57,,23/05/2018 18:27,1107,-193,1009,759,0.084391604,-1.073700759,0.4,87.08333333,9,733413,26/05/2018,9,18.97,0.43,9,16.1397004,8.6,25.924
2018,CASH,Forest,4CASH,24/05/2018,54,24/05/2018 04:50,24/05/2018 21:41,-2,0010-05-19 23:58:45,40,24/05/2018 05:27,05:27:00,327,37,,24/05/2018 19:42,1182,-119,1011,855,0.106296494,-0.97348106,0.4,82.29166667,9,733413,26/05/2018,9,18.97,0.43,9,16.7061746,6.3,27.548
2018,CASH,Forest,4CASH,25/05/2018,55,25/05/2018 04:48,25/05/2018 21:43,-1,0010-05-19 23:58:45,40,25/05/2018 05:33,05:33:00,333,45,,25/05/2018 20:24,1224,-79,1015,891,,,0.4,84.79166667,9,733413,26/05/2018,9,18.97,0.43,9,18.09395238,5.5,29.797
2018,GC,City,11GC,29/04/2018,29,29/04/2018 05:38,29/04/2018 20:51,-15,0002-05-19 23:58:45,32,29/04/2018 04:40,04:40:00,280,-58,18.41666667,29/04/2018 18:34,1114,-137,913,834,0.530513394,-0.275303647,45.86,55.41666667,8,736323,14/05/2018,5,17.93,3.13,5,8.499462366,2.9,14.375
2018,GC,City,11GC,30/04/2018,30,30/04/2018 05:36,30/04/2018 20:53,-14,0002-05-19 23:58:45,32,30/04/2018 05:19,05:19:00,319,-17,,30/04/2018 18:58,1138,-115,917,819,1.26866796,0.103347972,45.86,72.08333333,8,736323,14/05/2018,5,17.93,3.13,5,9.36247043,0.7,19.445
2018,GC,City,11GC,01/05/2018,31,01/05/2018 05:33,01/05/2018 20:55,-13,0002-05-19 23:58:45,32,01/05/2018 06:01,06:01:00,361,28,,01/05/2018 18:19,1099,-156,922,738,0.836746988,-0.077405842,45.86,76.04166667,8,736323,14/05/2018,5,17.93,3.13,5,8.481482527,1,12.245
2018,GC,City,11GC,02/05/2018,32,02/05/2018 05:31,02/05/2018 20:57,-12,0002-05-19 23:58:45,32,02/05/2018 05:55,05:55:00,355,24,,02/05/2018 18:10,1090,-167,926,735,0.646710798,-0.189289888,45.86,92.08333333,8,736323,14/05/2018,5,17.93,3.13,5,9.315354839,5.1,12.495
2018,GC,City,11GC,03/05/2018,33,03/05/2018 05:29,03/05/2018 20:59,-11,0002-05-19 23:58:45,32,03/05/2018 06:01,06:01:00,361,32,,03/05/2018 19:13,1153,-106,930,792,0.337256111,-0.472040172,45.86,89.79166667,8,736323,14/05/2018,5,17.93,3.13,5,9.054801075,5.6,10.804
2018,GC,City,11GC,04/05/2018,34,04/05/2018 05:27,04/05/2018 21:01,-10,0002-05-19 23:58:45,32,04/05/2018 05:58,05:58:00,358,31,,04/05/2018 19:34,1174,-87,934,816,0.73430047,-0.134126194,45.86,79.375,8,736323,14/05/2018,5,17.93,3.13,5,11.68089264,8.8,18.193
2018,GC,City,11GC,05/05/2018,35,05/05/2018 05:25,05/05/2018 21:03,-9,0002-05-19 23:58:45,32,05/05/2018 06:01,06:01:00,361,36,,05/05/2018 19:10,1150,-113,938,789,0.725051323,-0.139631251,45.86,89.16666667,8,736323,14/05/2018,5,17.93,3.13,5,14.49772849,9.1,19.382
2018,GC,City,11GC,06/05/2018,36,06/05/2018 05:23,06/05/2018 21:05,-8,0002-05-19 23:58:45,32,06/05/2018 05:55,05:55:00,355,32,,06/05/2018 19:43,1183,-82,942,828,0.583265509,-0.234133705,45.86,87.91666667,8,736323,14/05/2018,5,17.93,3.13,5,15.95214382,8.5,22.759
2018,GC,City,11GC,07/05/2018,37,07/05/2018 05:20,07/05/2018 21:07,-7,0002-05-19 23:58:45,32,07/05/2018 05:58,05:58:00,358,38,,07/05/2018 19:28,1168,-99,947,810,0.578582025,-0.237635063,45.86,87.91666667,8,736323,14/05/2018,5,17.93,3.13,5,17.59761694,8.7,23.26
2018,GC,City,11GC,08/05/2018,38,08/05/2018 05:18,08/05/2018 21:09,-6,0002-05-19 23:58:45,32,08/05/2018 05:37,05:37:00,337,19,,08/05/2018 19:07,1147,-122,951,810,1.051382547,0.021760763,45.86,64.16666667,8,736323,14/05/2018,5,17.93,3.13,5,14.76496774,6.9,18.318
2018,GC,City,11GC,09/05/2018,39,09/05/2018 05:16,09/05/2018 21:11,-5,0002-05-19 23:58:45,32,09/05/2018 05:43,05:43:00,343,27,,09/05/2018 19:55,1195,-76,955,852,0.472037431,-0.326023562,45.86,90.83333333,8,736323,14/05/2018,5,17.93,3.13,5,12.17156452,4.8,14.562
2018,GC,City,11GC,10/05/2018,40,10/05/2018 05:14,10/05/2018 21:13,-4,0002-05-19 23:58:45,32,10/05/2018 05:43,05:43:00,343,29,,,,NA,959,NA,,,45.86,91.92825112,8,736323,14/05/2018,5,17.93,3.13,5,11.52955272,5,14.804
2018,GC,City,14GC,02/05/2018,32,02/05/2018 05:31,02/05/2018 20:57,-12,0002-05-19 23:58:45,32,02/05/2018 05:50,05:50:00,350,19,22,02/05/2018 17:20,1040,-217,926,690,4.487438076,0.651998469,22.59,85.20833333,5,736323,14/05/2018,0,,,0,9.315354839,5.1,12.495
2018,GC,City,14GC,03/05/2018,33,03/05/2018 05:29,03/05/2018 20:59,-11,0002-05-19 23:58:45,32,03/05/2018 05:47,05:47:00,347,18,,03/05/2018 18:53,1133,-126,930,786,2.858145577,0.456084345,22.59,85.20833333,5,736323,14/05/2018,0,,,0,9.054801075,5.6,10.804
